id,birthdate,bsn,iban,name,postcode,house_number,has_subscription,has_insurance,renting,bike_id,revenue,satisfaction
1,1989-04-27,659834200,VJHW4785600749,Mads Groen,7854 AO,52,False,False,False,,0.0,9.0
2,2007-01-13,162870541,WSIL9631290278,Demi Flink-Arnold,3817AO,042,False,False,False,,0.0,9.0
3,1963-08-18,975280648,GBGY5862371305,Senn Jurrijens-Stook,8120 FB,1,False,False,False,,0.0,9.0
4,1957-02-12,041386577,AEBO0856481989,Lize van Mil-de Keijzer,2235 QS,054,False,False,False,,0.0,9.0
5,2004-12-18,519864372,ALHB2985856298,Tycho van Ginkel,6953 HX,452,False,False,False,,0.0,9.0
6,1966-03-02,013652497,DZTE4174019156,Senna van Doorn,8264MP,81,False,False,False,,0.0,9.0
7,1986-07-15,108672451,QJVG7897167324,Evelien Schouten,9729ID,33,False,False,False,,0.0,9.0
8,1991-07-20,458023760,HJCW8395462357,Vincent Stook,4793 FO,38,False,False,False,,0.0,9.0
9,1971-10-15,147826032,FCWY2715771631,Sylvie Hoogers,3970DM,9,False,False,False,,0.0,9.0
10,1957-11-13,723016549,CYNN9126616535,Ruben Mathol,5352WV,30,False,False,False,,0.0,9.0
11,1982-03-04,629310786,VHXS4869122593,Jake Bouwhuisen,9674 AW,315,False,False,False,,0.0,9.0
12,1982-12-28,035176829,QQCJ4036858444,Livia Lafleur,4898DL,026,False,False,False,,0.0,9.0
13,2003-04-05,263759489,MIRN2456544588,Robin Beekman,7759JX,75,False,False,False,,0.0,9.0
14,1986-01-10,065127390,OGOD2530815991,Josephine de Jonge,9701QC,107,False,False,False,,0.0,9.0
15,1957-11-02,018724590,BRLT7503753681,Melissa van der Meer,4671UV,4,False,False,False,,0.0,9.0
16,1999-08-12,362049154,ZRBI8761619442,Jake van Nederlotharingen,7091 LY,26,False,False,False,,0.0,9.0
17,1987-09-03,562189038,EKID7132483700,Ninthe van Henegouwen,6678CD,95,False,False,False,,0.0,9.0
18,2005-05-30,918635743,NXVN7201050148,Rowan Reimes-le Matelot,8391EW,1,False,False,False,,0.0,9.0
19,1966-01-24,635941089,CSCO2625608489,Jayson Kok-Nek,5682 MY,7,False,False,False,,0.0,9.0
20,1977-06-04,043175922,WYYC3910611421,Maxim Brouwer,9392 PG,96,False,False,False,,0.0,9.0
